exercise,main,sub
Ab wheel,Core,
aerobics,Cardio,
Arnold Press (Dumbbell),Shoulder,Triceps
Around the world,Shoulder,Core
Back Extension,Lower Back,Hamstring
Back Extension (Machine),Lower Back,Hamstring
Ball Slams,Core,Shoulder
Battle Ropes,Cardio,
Bench Dip,Triceps,Chest
Bench Press (Barbell),Chest,Triceps
Bench Press (Cable),Chest,Triceps
Bench Press (Dumbbell),Chest,Triceps
Bench Press (Smith Machine),Chest,Triceps
Bench Press - Close Grip (Barbell),Triceps,Chest
Bench Press - Wide Grip (Barbell),Chest,Triceps
Bent Over Lateral Raise,Shoulder,
Bent Over One Arm Row (Dumbbell),Lat,Traps
Bent Over Row (Band),Lat,Traps
Bent Over Row (Barbell),Lat,Traps
Bent Over Row (Dumbbell),Lat,Traps
Bent Over Row - Underhand (Barbell),Lat,Traps
Bicep Curl (Barbell),Biceps,
Bicep Curl (Cable),Biceps,
Bicep Curl (Dumbbell),Biceps,
Bicep Curl (Machine),Biceps,
Bicep Curl (Plate),Biceps,
Bicycle Crunch,Core,
Birddogg,Core,Lower Back
Box Jump,Cardio,
Box Squat (Barbell),Quads,Hamstring
Bridge,Glute,Hamstring
Bulgarian Split Squat,Quads,Glute
Burpee,Cardio,
Cable Crossover,Chest,Shoulder
Cable Crunch,Core,
Cable Kickback,Glute,Hamstring
Cable Pull Through,Glute,Hamstring
Cable Rope Extension,Triceps,
Cable Twist,Core,
Calf Press on Leg Press,Calf,
Calf Press on Seated Leg Press,Calf,
Chest Dip,Chest,Triceps
Chest Dip (Assisted),Chest,Triceps
Chest Fly,Chest,
Chest Fly (Band),Chest,
Chest Fly (Dumbbell),Chest,
Chest Press (Band),Chest,Triceps
Chest Press (Machine),Chest,Triceps
Chin Up,Lat,Biceps
Chin Up (Assisted),Lat,Biceps
Chin Up (Band),Lat,Biceps
Clean (Barbell),Allbody,
Clean and Jerk (Barbell),Allbody,
Concentration Curl (Dumbbell),Biceps,
Cross Body Crunch,Core,
Corss-Body Cable Y-Raise,Shoulder,
Cross-Body Triceps Extension,Triceps,
Crunch,Core,
Crunch (Machine),Core,
Crunch (Smith Machine),Core,
Crunch (Stability Ball),Core,
Cycling,Cardio,
Cycling (Indoor),Cardio,
Deadlift (Band),Hamstring,Lower Back
Deadlift (Barbell),Hamstring,Lower Back
Deadlift (Dumbbell),Hamstring,Lower Back
Deadlift (Smith Machine),Hamstring,Lower Back
Deadlift High Pull (Barbell),Allbody
Decline Bench Press (Barbell),Chest,Triceps
Decline Bench Press (Dumbbell),Chest,Triceps
Decline Bench Press (Smith Machine),Chest,Triceps
Decline Crunch,Core,
Deficit Deadlift (Barbell),Hamstring,Lower Back
Deficit Deadlift (Dumbbell),Hamstring,Lower Back
Elliptical Machine,Cardio,
Face Pull (Cable),Shoulder,Traps
Flat Knee Raise,Core,
Flat Leg Raise,Core,
Floor Press (Barbell),Chest,Triceps
Front Raise (Band),Shoulder,
Front Raise (Barbell),Shoulder,
Front Raise (Cable),Shoulder,
Front Raise (Dumbbell),Shoulder,
Front Raise (Plate),Shoulder,
Front Squat (Barbell),Quads,Glute
Glute Ham Raise,Hamstring,Glute
Glute Kickback (Machine),Glute,
Goblet Squat (Kettlebell),Quads,Glute
Goblet Squat (Dumbbell),Quads,Glute
Good Morning (Barbell),Hamstring,Lower Back
Hack Squat,Quads,Glute
Hack Squat (Barbell),Quads,Glute
Hammer Curl (Band),Biceps,Forearm
Hammer Curl (Cable),Biceps,Forearm
Hammer Curl (Dumbbell),Biceps,Forearm
Handstand Push Up,Shoulder,Triceps
Hang Clean (Barbell),Allbody,
Hang Snatch (Barbell),Allbody,
Hanging,Forarm,
Hanging Knee Raise,Core,
Hanging Leg Raise,Core,
High Knee Skips,Cardio,
High Row,Lat,Traps
High Row (Single Arm),Lat,Traps
Hiking,Cardio,
Hip Abductor (Machine),Glute,
Hip Adductor (Machine),Adductor,
Hip Thrust (Barbell),Glute,Hamstring
Hip Thrust (Bodyweight),Glute,Hamstring
Incline Bench Press (Barbell),Chest,Shoulder
Incline Bench Press (Cable),Chest,Shoulder
Incline Bench Press (Dumbbell),Chest,Shoulder
